date,mig,time
1,6.62,this year
2,7.56,this year
3,6.22,this year
4,5.76,this year
5,5.46,this year
6,5.91,this year
7,6,this year
8,6.44,this year
9,7.71,this year
10,7.41,this year
11,8.31,this year
12,10.74,this year
13,11.84,this year
14,11.14,this year
15,3.89,this year
16,1.3,this year
17,0.66,this year
18,0.43,this year
19,0.32,this year
20,0.26,this year
21,0.24,this year
22,0.24,this year
23,0.24,this year
24,0.46,this year
25,0.21,this year
26,0.23,this year
27,0.28,this year
28,0.28,this year
29,0.27,this year
30,0.28,this year
31,0.29,this year
32,0.27,this year
33,0.27,this year
34,0.29,this year
35,0.31,this year
36,0.31,this year
37,0.3,this year
38,0.29,this year
39,0.28,this year
40,0.26,this year
41,0.25,this year
42,0.26,this year
43,0.26,this year
44,0.25,this year
45,0.25,this year
46,0.26,this year
47,0.26,this year
48,0.26,this year
49,0.24,this year
50,0.26,this year
51,0.27,this year
1,4.57,last year
2,4.69,last year
3,4.81,last year
4,4.86,last year
5,5.66,last year
6,7.04,last year
7,6.49,last year
8,6.77,last year
9,7.03,last year
10,7.11,last year
11,7.48,last year
12,8.71,last year
13,9.6,last year
14,9.22,last year
15,7.38,last year
16,5.54,last year
17,6.54,last year
18,5.64,last year
19,4.7,last year
20,4.27,last year
21,3.72,last year
22,3.5,last year
23,3.28,last year
24,3.4,last year
25,3.37,last year
26,3.45,last year
27,3.99,last year
28,3.56,last year
29,4.09,last year
30,3.71,last year
31,2.98,last year
32,2.9,last year
33,3.05,last year
34,3.9,last year
35,3.78,last year
36,3.34,last year
37,3.07,last year
38,3.28,last year
39,4.32,last year
40,3.62,last year
41,4.23,last year
42,3.46,last year
43,3.81,last year
44,3.3,last year
45,3.33,last year
46,3.88,last year
47,4.73,last year
48,3.89,last year
49,4.07,last year
50,3.47,last year
51,3.36,last year
