武汉迁徙规模指数,今年,去年(农历同期)
1月10日,6.62,4.57
1月11日,7.56,4.69
1月12日,6.22,4.81
1月13日,5.76,4.86
1月14日,5.46,5.66
1月15日,5.91,7.04
1月16日,6,6.49
1月17日,6.44,6.77
1月18日,7.71,7.03
1月19日,7.41,7.11
1月20日,8.31,7.48
1月21日,10.74,8.71
1月22日,11.84,9.6
1月23日,11.14,9.22
1月24日,3.89,7.38
1月25日,1.3,5.54
1月26日,0.66,6.54
1月27日,0.43,5.64
1月28日,0.32,4.7
1月29日,0.26,4.27
1月30日,0.24,3.72
1月31日,0.24,3.5
2月1日,0.24,3.28
2月2日,0.46,3.4
2月3日,0.21,3.37
2月4日,0.23,3.45
2月5日,0.28,3.99
2月6日,0.28,3.56
2月7日,0.27,4.09
2月8日,0.28,3.71
2月9日,0.29,2.98
2月10日,0.27,2.9
2月11日,0.27,3.05
2月12日,0.29,3.9
2月13日,0.31,3.78
2月14日,0.31,3.34
2月15日,0.3,3.07
2月16日,0.29,3.28
2月17日,0.28,4.32
2月18日,0.26,3.62
2月19日,0.25,4.23
2月20日,0.26,3.46
2月21日,0.26,3.81
2月22日,0.25,3.3
2月23日,0.25,3.33
2月24日,0.26,3.88
2月25日,0.26,4.73
2月26日,0.26,3.89
2月27日,0.24,4.07
2月28日,0.26,3.47
2月29日,0.27,3.36
