province,distance,train,GDP,population
安徽,295.4,47,30006.82,6324
北京,1047.2,45,30319.98,2154
福建,696.1,10,35804.04,3941
甘肃,1135.5,10,8246.07,2637
广东,839.5,77,97277.77,11346
广西,1044.1,8,20352.51,4926
贵州,873.9,9,14806.45,3600
海南,1249.2,2,4832.05,934
河北,826.6,60,36010.27,7556
河南,463.4,106,48055.86,9605
黑龙江,1992.2,4,16361.62,3773
湖南,303.1,114,36425.78,6899
吉林,1761.1,5,15074.62,2704
江苏,448.3,44,92595.4,8051
江西,256.6,33,21984.78,4648
辽宁,1476,9,25315.35,4359
内蒙古,1159.5,4,17289.22,2534
宁夏,1139,1,3705.18,688
山东,716.5,12,76469.67,10047
山西,822.7,3,16818.11,3718
陕西,656.1,24,24438.32,3864
上海,678.7,32,32679.87,2424
四川,983.8,21,40678.13,8341
天津,967.4,16,18809.64,1560
新疆,2761.6,4,12199.08,2487
云南,1297.2,6,17881.12,4830
浙江,552,15,56197.15,5737
重庆,755.8,36,20363.19,3102
