,2020.1.20,2020.1.21,2020.1.22,2020.1.23,2020.1.24,2020.1.25,2020.1.26,2020.1.27,2020.1.28,2020.1.29,2020.1.30,2020.1.31,2020.2.1,2020.2.2,2020.2.3,2020.2.4,2020.2.5,2020.2.6,2020.2.7,2020.2.8,2020.2.9,2020.2.10,2020.2.11,2020.2.12
全国,291,440,571,830,1287,1975,2744,4515,5974,7711,9692,11791,14380,17205,20438,24324,24702,31161,34546,37198,40171,42638,44653,59804
北京,5,22,14,26,36,51,68,80,91,111,132,156,183,212,228,253,274,297,315,326,337,342,352,366
天津,,35,4,5,8,10,14,23,24,27,31,32,41,48,60,67,69,79,81,88,91,95,106,112
河北,,,1,2,8,13,18,33,48,65,82,96,104,113,126,135,157,171,195,206,218,239,251,265
山西,,,,1,6,9,13,20,27,35,39,47,56,66,74,81,90,96,104,115,119,122,124,126
内蒙古,,,,,2,7,11,13,16,18,20,23,27,34,35,42,46,50,52,54,58,58,60,61
辽宁,,,,4,12,15,22,30,36,41,45,60,64,70,74,81,89,94,99,105,107,108,111,116
吉林,,,1,3,4,4,6,8,9,14,14,17,23,31,42,54,59,60,69,79,80,81,83,84
黑龙江,,,1,4,9,15,21,30,37,43,59,80,95,118,155,190,227,277,295,307,331,360,378,395
上海,1,9,16,20,33,40,53,66,80,101,128,153,177,193,208,233,196,269,281,292,295,302,306,313
江苏,,,1,9,18,31,47,70,99,129,168,202,236,271,308,341,373,408,439,468,492,515,543,570
浙江,,5,10,43,62,104,128,173,296,428,537,599,661,724,829,895,954,1006,1048,1075,1092,1117,1131,1145
安徽,,,,15,39,60,70,106,152,200,237,297,340,408,480,530,669,665,733,779,830,860,889,910
福建,,,,4,10,18,35,59,80,101,120,144,159,179,194,205,215,224,239,250,261,267,272,279
江西,,2,3,7,18,36,48,72,109,162,240,286,333,391,476,548,600,661,698,740,771,804,844,872
山东,,1,6,9,21,39,63,87,121,145,178,202,225,246,270,298,343,379,407,435,459,486,497,506
河南,,1,5,9,32,83,128,168,206,278,352,422,493,566,675,764,851,914,981,1033,1073,1105,1135,1169
湖北,270,375,444,549,729,1052,1423,2714,3554,4586,5806,7153,9074,11177,13522,16678,19665,22112,24953,27013,29631,31728,33366,48206
湖南,,,24,43,69,100,143,221,277,332,389,463,521,593,661,711,772,803,838,879,879,912,946,968
广东,14,17,32,53,78,98,146,188,241,311,393,520,604,683,797,870,944,1018,1075,1120,1151,1177,1219,1241
广西,,,,13,23,33,46,51,58,78,87,100,111,127,139,150,168,172,183,195,215,215,222,222
海南,,,,8,17,19,22,33,43,46,49,57,63,70,79,89,100,111,122,128,136,142,145,157
重庆,,6,9,27,57,75,110,132,147,165,206,238,262,300,337,366,389,411,426,446,468,486,505,518
四川,,2,8,15,28,44,69,90,108,142,177,207,231,254,282,301,321,344,363,386,405,417,436,451
贵州,,0,1,3,4,5,7,9,9,12,15,29,38,46,56,64,69,77,89,96,109,118,131,135
云南,0,1,1,1,5,11,19,26,51,70,80,91,99,109,117,122,128,135,138,140,141,149,154,155
西藏,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1
陕西,,,,3,5,15,22,35,46,56,63,87,101,116,128,150,165,173,184,195,208,213,219,225
甘肃,,,,2,4,7,14,19,24,26,29,35,40,51,55,57,62,67,71,79,83,86,86,87
青海,,,,0,0,1,4,6,6,6,8,9,9,13,15,17,18,18,18,18,18,18,18,18
宁夏,3,,,2,3,4,7,11,12,17,21,26,28,31,34,34,40,43,44,45,49,53,58,64
新疆,5,,,2,3,4,5,10,13,14,17,18,21,24,29,32,36,39,42,45,49,55,59,63
