time,s1,s2,s3,s4
1月10日,27733.37784,66400.95672,17064.42696,182167.9154
1月11日,53783.98872,133445.9398,32344.75944,409117.8756
1月12日,76850.95824,188828.8198,45802.79928,592933.6543
1月13日,99596.76048,244911.198,58496.34168,756795.7471
1月14日,120574.4954,296978.7626,70018.29576,914311.0687
1月15日,141570.9288,351548.4403,82489.86144,1088492.007
1月16日,163100.8008,408017.6083,95097.92544,1264123.407
1月17日,183887.1888,467481.0134,108802.6061,1456103.62
1月18日,206472.9862,532423.7621,123390.6971,1696240.76
1月19日,228839.7451,595697.2778,137345.1794,1925516.534
1月20日,251925.324,665693.9369,151662.6779,2186968.114
1月21日,279562.0934,754198.5394,168732.4472,2530467.338
1月22日,304916.4115,844071.9538,185178.4914,2924592.57
1月23日,327184.6922,923424.4018,198569.217,3304343.629
1月24日,337367.8409,954320.2133,204647.9333,3429831.885
1月25日,340441.0565,963638.2493,206748.8321,3472984.231
1月26日,341795.622,968280.7949,207606.8215,3495394.798
1月27日,342383.3305,970589.513,208027.9807,3511180.61
1月28日,342689.6281,971833.2238,208238.8274,3523643.361
1月29日,342838.9482,972557.8313,208377.7298,3534186.053
1月30日,342983.193,973112.3724,208500.605,3544023.549
1月31日,343135.9856,973729.9538,208604.2476,3553823.647
2月1日,343241.7652,974247.0982,208719.6434,3563751.963
2月2日,343436.3176,975058.0745,208860.9499,3583049.513
2月3日,343585.9048,975651.7487,208974.0752,3591528.303
2月4日,343717.9956,976238.4778,209089.7827,3600865.794
2月5日,343862.5966,976798.1832,209178.2885,3612507.418
2月6日,344004.7044,977316.7522,209295.4651,3624177.713
2月7日,344128.5145,977911.762,209401.2446,3635355.483
2月8日,344239.4584,978481.4399,209530.8869,3646987.134
2月9日,344376.3128,979084.3742,209629.009,3659039.366
2月10日,344508.5372,979747.9003,209733.5864,3670145.013
2月11日,344619.1249,980376.5672,209826.1435,3681317.975
2月12日,344766.308,981071.1683,209934.5942,3693257.883
2月13日,344912.6008,982207.007,210064.3255,3705626.518
2月14日,345151.3615,983638.1915,210234.0803,3717571.457
2月15日,345362.3863,984492.9755,210355.6199,3729717.403
2月16日,345625.7666,985275.37,210440.8312,3741477.851
2月17日,345810.2575,986083.1408,210551.775,3752819.054
2月18日,345935.2697,986790.3856,210694.15,3763404.574
2月19日,346068.8297,987365.8066,210824.371,3773679.79
2月20日,346212.3622,987980.4497,210941.2805,3784359.07
2月21日,346377.8875,988636.7635,211035.0396,3795004.781
2月22日,346549.2895,989363.5525,211156.3566,3805099.691
2月23日,346701.7705,990166.0255,211298.8206,3815112.239
2月24日,346884.6587,991046.8982,211458.5584,3825444.263
2月25日,347049.0265,991939.3462,211620.6112,3835783.232
2月26日,347265.4828,992713.727,211764.1436,3846205.542
2月27日,347418.2754,993417.8554,211890.2243,3855884.902
2月28日,347569.9105,994166.7708,211999.0312,3866432.224
2月29日,347703.337,995006.9968,212119.2352,3877337.131
